,city,district,region,metro,adress,age_of_construction,rooms_in_flat,rooms_to_rent,apartment_layout,ceiling_height,restroom,bathroom,remont,window_view,floor_of_flat,height,to_metro,type_of_way,price,kitchen_size,room_size,building_age,share_in_flat,remont_scale,price_per_square
0,Москва,ЮАО,р-н Братеево,Алма-Атинская,Ключевая улица 22К1,1958.0,3.0,1.0,,,1 раздельный,Есть,Косметический,,12.0,17.0,5.0,пешком,19000,9.235539215686275,14.0,63.0,0.3333333333333333,1,1357.142857142857
1,Москва,ВАО,р-н Вешняки,Выхино,Вешняковская улица 37,1958.0,3.0,1.0,,,1 раздельный,Есть,Косметический,,6.0,12.0,8.0,пешком,18000,9.235539215686275,16.0,63.0,0.3333333333333333,1,1125.0
2,Москва,СВАО,р-н Отрадное,Владыкино,Алтуфьевское шоссе 2,1980.0,2.0,1.0,Изолированная,2.7,1 раздельный,Есть,Евроремонт,1.0,7.0,16.0,3.0,пешком,35000,5.0,20.0,41.0,0.5,2,1750.0
3,Москва,ЮАО,р-н Даниловский,Павелецкая,Павелецкая набережная 2С2,1989.0,6.0,1.0,,3.0,"4 совмещенных, 4 раздельных",,Косметический,1.0,1.0,4.0,15.0,пешком,16000,12.0,6.0,32.0,0.16666666666666666,1,2666.6666666666665
4,Москва,ЮАО,р-н Орехово-Борисово Северное,Домодедовская,Ореховый бульвар 11К1,1973.0,3.0,1.0,Изолированная,,1 совмещенный,Есть,Косметический,2.0,2.0,9.0,1.0,пешком,17000,7.0,18.0,48.0,0.3333333333333333,1,944.4444444444445
5,Москва,ЮВАО,р-н Лефортово,Лефортово,Боровая улица 4,1958.0,4.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,,1.0,5.0,14.0,пешком,20000,16.0,20.0,63.0,0.25,1,1000.0
6,Москва,СВАО,р-н Бибирево,Бибирево,улица Плещеева 10,1981.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Евроремонт,2.0,4.0,12.0,2.0,пешком,15000,9.0,15.0,40.0,0.5,2,1000.0
7,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,3.0,4.0,15.0,пешком,10000,15.0,10.0,63.0,0.2,1,1000.0
8,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,2.0,4.0,15.0,пешком,10000,15.0,10.0,63.0,0.2,1,1000.0
9,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,2.0,4.0,15.0,пешком,10000,15.0,10.0,63.0,0.2,1,1000.0
10,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,4.0,4.0,15.0,пешком,11000,15.0,12.0,63.0,0.2,1,916.6666666666666
11,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,2.0,4.0,15.0,пешком,11000,15.0,12.0,63.0,0.2,1,916.6666666666666
12,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,2.0,3.0,15.0,пешком,13000,15.0,16.0,63.0,0.2,1,812.5
13,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,3.0,4.0,15.0,пешком,13000,15.0,18.0,63.0,0.2,1,722.2222222222222
14,Москва,НАО (Новомосковский),м. Румянцево,Румянцево,д. Румянцево улица Садовая,1958.0,6.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,1.0,3.0,10.0,пешком,14000,15.0,14.0,63.0,0.16666666666666666,1,1000.0
15,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,3.0,4.0,15.0,пешком,14000,15.0,15.0,63.0,0.2,1,933.3333333333334
16,Москва,ЮЗАО,р-н Коньково,Беляево,улица Академика Арцимовича 5К3,1958.0,4.0,1.0,,,,Есть,Косметический,,1.0,5.0,8.0,пешком,14000,6.0,14.0,63.0,0.25,1,1000.0
17,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,3.0,4.0,15.0,пешком,15000,15.0,18.0,63.0,0.2,1,833.3333333333334
18,Москва,ЮАО,р-н Бирюлево Восточное,Орехово,Липецкая улица 36/20,1958.0,3.0,1.0,,,,Есть,Косметический,,1.0,17.0,302.335390625,на транспорте,16000,10.0,11.0,63.0,0.3333333333333333,1,1454.5454545454545
19,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,4.0,4.0,15.0,пешком,18000,15.0,25.0,63.0,0.2,1,720.0
